Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 Max mjd,W1 Min mjd,W2 Max mjd,W2 Min mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
114338.55+564817.9,1.878444482752504,1.1124799543528678,-3.853581071286885,2.2822243263737443,0.1522851047913555,0.0901885192681684,0.8407710313457302,0.5306484574415365,,,,,,,,,2.8660127770196944,1.2694644072136336,0.8407710313457302,0.5306484574415365,0.2621129104754814,0.0984488550742943,57430,59307.35829040001,59329.36676212,57870.107343805,,,20,8,0.1811255372911807,0.0395178152410066,0.081069792687304,,,,0.0265634457720925,
122523.45+580846.3,4.023616724619207,1.7383282577254695,-2.8297567561298105,1.2225434151249948,0.1477492346437735,0.0638322900059248,0.357063632375403,0.1607075354434478,3.824091817805536,1.742946280521662,-2.6788040927520664,1.2209465285244494,0.1199458362607072,0.0546689669430136,0.444109307664582,0.215391159686593,3.3390673478266546,0.7518714025588316,0.4005864700199925,0.1343691404484698,-0.0244183903782276,0.1025657434547396,58135,59309.26965074,58967.45389861,59907.663181695,56987.8536642,55332.8740775,23,23,0.4137896476906829,0.0522126979019378,0.0367205041523323,0.2700817888538771,0.0447758895789505,0.0313658358573457,0.0357836598392583,0.0245975199230102
095209.81+331752.0,3.0856786327991625,,,,0.1410649809166672,,0.566030391953641,,2.7946032524505724,,,,0.268978262821925,,1.4054704571157886,,2.9401409426248675,,0.9857504245347148,,0.0609844557858676,0.1254890810159758,56325,59280.39813619,59165.02598698,55320.4972836,60259.99306914,55511.5454546,23,14,0.2492180330278461,,0.0457160312863496,0.1913795209711515,,0.0962491769041131,0.0242983207432096,0.050181072002533
160344.93+450146.4,3.6561425352013326,1.3120892554332342,-4.304090675198538,1.5446200674524286,0.1770763599119713,0.0635478477643464,0.3944400048457403,0.1460962158886801,2.3828379952140324,,,,0.0922406311273639,,0.3415285107477907,,3.447690401871301,,0.3679842577967655,,0.7746995605259156,0.1634050799410805,57897,59311.38455027,57052.31597315,59974.19218333,57948.708102565,55592.1520337,25,24,0.448931035738181,0.0411414101780751,0.0484325647064031,0.2700817888538771,,0.0387104080565404,0.0315094846364145,0.0161554831711559
112934.69+503103.4,10.187640608486095,1.2931542092046333,-12.425358220787087,1.577195829886459,0.2940858333632655,0.037329382523013,1.2130931544795724,0.19426106078699,2.116084017610336,1.1166050944353547,-4.259456879252347,2.247609835582956,0.3060378331960742,0.1614885802231034,1.3966253209319044,0.8676536986188181,7.247134931533967,0.8084843614954438,1.3048592377057384,0.4445672897506635,0.983887497698942,0.2247190948579642,57064,59308.27622285,57512.46118401,58442.8343827,59331.32649287,58236.69055075,23,18,0.2424264223050792,0.0236681975793078,0.0288669226433349,0.2191266538056671,0.0718490272050347,0.1446246135073967,0.0384204007879049,0.029822406200005
095656.19+021315.1,5.722567257229202,1.99021827392704,-3.3256304780466794,1.1566016181593868,0.1624367893359068,0.056492943108001,0.5819752202588846,0.2265803467401012,2.553941768769054,1.240896237334215,-3.4760427494265937,1.688921972036704,0.1460254589594264,0.0709501073178695,0.5170508471688569,0.2627310810739109,3.769545563367882,0.7782583512425598,0.5495130337138707,0.1734692152019562,0.2144153272841433,0.0773082093130911,51908,59198.43399897,57715.96823471,59697.79632808,60271.1151583,55522.3635235,23,23,0.2791128963594856,0.0488439080674154,0.0283853001693783,0.282419920127774,0.0420091090604437,0.0571765029042959,0.0204923717116985,0.0285337407406091
144102.63-013845.8,2.8102018836961813,1.2125463482425711,-4.097929741098053,1.76817536553195,0.20003750531268,0.0863122140746053,0.2906241562905369,0.1270811196475481,4.580634764667773,2.145476436150315,-2.413178053343564,1.1302836649669477,0.2560986258202041,0.119951403081921,0.3778433011587184,0.1866007699729943,3.475486110701393,0.8092173329550371,0.3342337287246276,0.1128820826409009,0.0412456677113811,0.0518386499265507,52409,59318.40126099,59767.61898862,55590.87171305,59972.89970052,57587.0148855,25,25,0.6883030917522994,0.0488142837849336,0.071182610215027,0.6777905682986459,0.1061250434734264,0.0559089818283686,0.0405034561933698,0.0442489328800271
114302.72+550813.1,2.1546704467805275,1.1107384050830336,-4.456711451355212,2.2974467287051468,0.1497956976104351,0.077220084630911,0.7029426695757064,0.3789511396825368,2.2240443823452667,,,,0.2520374023534697,,1.2792917129572907,,2.9451420934936685,,0.9911171912664986,,0.0641196654219274,0.0584329107885655,57430,59307.35829037,56793.73624938,59537.73238549,60426.30627047,55519.7408695,20,13,0.2130980293184525,0.0336112623052777,0.0695213961068883,0.1970132377163956,,0.113323908620787,0.0282574033344055,0.0275199926494141
123401.05+623314.7,1.3097136187617489,1.143742375773492,-2.3593786096418388,2.0603903461675808,0.0939506591384351,0.0820449207744144,0.3759414945425889,0.3337211196200462,3.7279717103929566,1.1471211077701582,-6.63295184285117,2.0410023618327084,0.1668375987623256,0.0513370127183124,0.6842245514128432,0.2220562374067226,3.507503945411928,0.8304717212832673,0.530083022977716,0.2004237749442964,0.2332330024894169,0.0941137138474388,52373,59311.22038456,57872.073056045,56793.80386575,60426.24387492,58599.58412692,23,23,0.2499076598414485,0.0398200859982778,0.0717337422414981,0.2438345692475161,0.025152843366734,0.0447529143789397,0.0185067336131049,0.0236774343316376
123731.71+542544.3,1.4051670941051486,1.2814385221625904,-1.753605161263635,1.5991957225111408,0.1047762942319106,0.0955504723968189,0.5588349715803688,0.5398483608513585,,,,,,,,,1.579386127684392,1.024635501651706,0.5588349715803688,0.5398483608513585,,,58172,59307.32351873,60277.69484159,57162.2175127,,,10,5,0.1874905823012586,0.059749079522787,0.0745650070169308,,,,0.0348591606891376,
