Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd
114338.55+564817.9,-0.7091963791558107,1.0465478572381632,2.2977655316437593,3.3907696996986036,0.05749440343274825,0.08484341782364017,0.31726829929441847,0.47327768958413813,,,,,,,,,1.503480955399785,1.774301381803832,0.31726829929441847,0.47327768958413813,0.254186236850729,0.27719817819169335,57430,59307.35829040001,55327.5148802,60267.033465454995,,,20,8,0.1812169812130982,0.03954271705861382,0.08106979268730405,,,,0.024468097857824736,,13,5,2102.4851198000033,3979.84341020001,,
122523.45+580846.3,-1.1980116540086598,1.4395085343527019,1.156980969644545,1.3902068267150163,0.0423727078466547,0.05091425810825395,0.10225812860277175,0.1236223901076735,-1.3425735994543258,1.0892791996922606,3.1085991101331607,2.5221204649236206,0.06761962122362841,0.054862278626590516,0.25036677520325146,0.20808877869068437,1.701541333310173,0.8497235085598451,0.1763124519030116,0.12102007597183455,-0.024878825064708284,0.281433432061882,58135,59309.26965074,55332.874077500004,60430.22165964,55332.874077500004,60429.869187585,23,23,0.41437006940792154,0.055130440424324606,0.037947733494534286,0.27008224701034633,0.04870433176310901,0.028518584380006765,0.03585902892634679,0.024597519923010236,1,6,2802.125922499996,3976.395573239999,2802.125922499996,3976.395573239999
160344.93+450146.4,1.5126470157157814,1.4053697325861954,-1.5318668385036995,1.4232264810087802,0.05997520204499113,0.055721746570126025,0.13358991387875152,0.12472859792730415,1.2139069059826115,1.3976211944005743,-1.243255344570387,1.431411264784626,0.03683353041878906,0.04240796598502527,0.13637917082486883,,1.3754190261931198,0.7072358567649145,0.13498454235181018,,0.7800883626010898,0.313207965755275,57897,59311.38455027,55225.342293249996,60499.98780242,55225.342293249996,60338.65056692,25,24,0.44895007642138046,0.04150375252769278,0.050355381960508816,0.2700817888538771,,0.036983513883499075,0.0315339484342716,0.01579975225909297,0,2,4086.0422570200026,2671.657706750004,4086.0422570200026,2671.657706750004
112934.69+503103.4,3.694256482149297,1.8654407387083825,-2.3459171007637316,1.1845873047913804,0.15904948783170636,0.0803131551654885,0.6560732378896886,0.34064906371647585,-1.388660146404262,1.074318658511207,3.53679024370315,2.736191255930632,0.1723020531178751,0.13329921726610458,0.7863126193250844,0.6607012985270971,2.74140599325511,0.9193754470210453,0.7211929286073866,0.3716745856546772,1.0001558993576654,0.40933919763078563,57064,59308.27622285,55330.12676425,60427.42843678,55330.12676425,60427.71698458,23,18,0.24242642230507924,0.029304650553728544,0.026418961130028427,0.21912665380566715,0.07184902720503474,0.14462461350739678,0.03856550013164661,0.028346026301453192,5,8,3978.149458599997,1733.8732357499975,1733.8732357499975,3978.149458599997
142741.21+332937.3,-1.6028406377489568,,,,0.05191569521748235,,0.2776638364833167,,,,,,,,,,1.6028406377489568,,0.2776638364833167,,,,55269,59311.33460277,55209.1674089,60480.94634279,,,24,19,0.18697319706810894,,0.03890956043146729,,,,0.02427804638309365,,9,12,59.83259109999926,4102.167193870002,,
142030.56+513909.1,0.7908893368534774,1.6755904001628514,-0.5882530272096788,1.2462819756563275,0.04623103732123049,0.09794579180092751,0.24409242859955424,,,,,,,,,,0.6895711820315781,1.0441290571528674,0.24409242859955424,,,,57835,59231.5316127,55364.329408100006,60301.65248407,,,15,8,0.18939971873144335,,0.1158764943850432,,,,0.039821335579976386,,11,5,3867.202204599991,2470.670591899994,,
161501.19+424846.9,-0.20401609348626482,1.3115070209438133,0.24042681275958885,1.5455714672753162,0.0076558875286774075,0.049215481356585156,0.024146270709160318,0.15524471667202044,0.6732774278056767,1.6618675405230028,-0.507242101337914,1.2520383850495864,0.02425340245327673,0.05986528081849608,0.089139997387074,0.22013802537841567,0.40624060884736113,0.7262164650743795,0.05664313404811716,0.13468636927328975,0.4699776225231257,0.2694777460042015,57898,59312.44716139,55231.1652746,60506.114304015,55231.1652746,60505.92316997,24,24,0.31706293782969186,0.03404382678366627,0.04525182683028872,0.2720821535136556,0.021386721517149668,0.05683100874828617,0.014838098890742502,0.018353071682833566,0,2,2666.8347253999964,4081.2818867899987,4081.2818867899987,2666.8347253999964
141945.05+512241.4,-0.4652384142963885,1.3753931733702733,0.4926796559980011,1.456518238165884,0.01431314506632858,0.042314223006411696,0.05322783471704489,0.1578903966558323,-1.6171766588257306,1.1722450355899945,2.643806712592472,1.9164197535143883,0.08825377929796435,0.06397263656353713,0.4448746416394284,,1.3047253604281481,0.7524948029134877,0.24905123817823666,,0.4845813552985971,0.12275956982151703,57835,59231.53161272,55364.4947561,60460.79652068,55364.4947561,60302.33036849,24,23,0.2689033875305311,0.06542053757101345,0.03227177144106247,0.19837898373513987,,0.06426200194343062,0.019963738378459245,0.020546675498641698,1,18,2470.505243899999,3867.0368566199977,2470.505243899999,3867.0368566199977
153722.08+425656.6,-0.006586589897308282,1.6632283458473418,0.004955926784061982,1.2514575881769288,0.0002008386920346883,0.050715257932106794,0.0010210991346931864,,,,,,,,,,0.0057712583406851325,1.0407298671408085,0.0010210991346931864,,0.10824023109464292,0.4336718900277632,57903,59338.37569314,55219.718723800004,60332.10692197,,,22,11,0.19668873002721238,,0.05289779816307133,,,,0.022064235195332932,,8,8,2683.281276199996,4118.656969339994,,
115634.41+524502.1,0.9678365881192511,1.5145232369723254,-0.8508866559740232,1.3315136339354332,0.023701559708494635,0.03708948739038493,0.08286805473388821,0.12994050719791622,0.13109011285780447,1.9448712231142444,-0.07858695690710366,1.1659270685542449,0.006132946345527579,0.0909892485427831,0.030744941536237285,0.4561458909503232,0.5071000784645456,0.7586426693596624,0.05680649813506275,0.2371463731757856,1.292892578849675,0.40412502428160013,57423,59308.26450978,55333.0712601,60430.4776089,55333.0712601,60272.00970816,23,19,0.28601563997859936,0.028578130428874235,0.033699447259385285,0.1994782243543716,0.01924518398393532,0.040076079214268076,0.021163038351292796,0.03170298584879255,4,16,3975.19324968,2089.9287399000023,3975.19324968,2089.9287399000023
